分类: 央视, 名称: CCTV1, 总数: 230, 有效率: 0.00%, 有效: 0, IPv4: 230, IPv6: 0, 最小延迟: 407 ms, 最高速率: 0.18 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视, 名称: CCTV2, 总数: 231, 有效率: 1.73%, 有效: 4, IPv4: 231, IPv6: 0, 最小延迟: 48 ms, 最高速率: 5.95 MiB/s, 平均速率: 4.49 MiB/s, 最高分辨率: 1280x720, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 央视, 名称: CCTV3, 总数: 225, 有效率: 0.89%, 有效: 2, IPv4: 225, IPv6: 0, 最小延迟: 34 ms, 最高速率: 5.17 MiB/s, 平均速率: 3.92 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 32.0, 视频编解码器: h264, 音频编解码器: aac
分类: 央视, 名称: CCTV4, 总数: 268, 有效率: 2.24%, 有效: 6, IPv4: 268, IPv6: 0, 最小延迟: 5 ms, 最高速率: 58.06 MiB/s, 平均速率: 9.60 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 央视, 名称: CCTV5, 总数: 224, 有效率: 0.89%, 有效: 2, IPv4: 224, IPv6: 0, 最小延迟: 65 ms, 最高速率: 6.68 MiB/s, 平均速率: 5.88 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 央视, 名称: CCTV5+, 总数: 129, 有效率: 1.55%, 有效: 2, IPv4: 129, IPv6: 0, 最小延迟: 55 ms, 最高速率: 2.78 MiB/s, 平均速率: 1.56 MiB/s, 最高分辨率: 1280x720, 平均帧率: 42.5, 视频编解码器: h264, 音频编解码器: aac
分类: 央视, 名称: CCTV6, 总数: 217, 有效率: 4.15%, 有效: 9, IPv4: 217, IPv6: 0, 最小延迟: 14 ms, 最高速率: 27.62 MiB/s, 平均速率: 11.41 MiB/s, 最高分辨率: 1280x720, 平均帧率: 29.38, 视频编解码器: h264, 音频编解码器: aac
分类: 央视, 名称: CCTV7, 总数: 215, 有效率: 1.86%, 有效: 4, IPv4: 215, IPv6: 0, 最小延迟: 32 ms, 最高速率: 9.51 MiB/s, 平均速率: 6.29 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 39.0, 视频编解码器: h264, 音频编解码器: aac
分类: 央视, 名称: CCTV8, 总数: 213, 有效率: 4.23%, 有效: 9, IPv4: 213, IPv6: 0, 最小延迟: 35 ms, 最高速率: 14.81 MiB/s, 平均速率: 2.68 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 26.0, 视频编解码器: h264, 音频编解码器: aac
分类: 央视, 名称: CCTV9, 总数: 213, 有效率: 1.88%, 有效: 4, IPv4: 213, IPv6: 0, 最小延迟: 4 ms, 最高速率: 65.20 MiB/s, 平均速率: 3.75 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 26.25, 视频编解码器: h264, 音频编解码器: aac
分类: 央视, 名称: CCTV10, 总数: 217, 有效率: 1.38%, 有效: 3, IPv4: 217, IPv6: 0, 最小延迟: 32 ms, 最高速率: 16.99 MiB/s, 平均速率: 8.69 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 央视, 名称: CCTV11, 总数: 204, 有效率: 1.47%, 有效: 3, IPv4: 204, IPv6: 0, 最小延迟: 4 ms, 最高速率: 71.42 MiB/s, 平均速率: 5.49 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 29.38, 视频编解码器: h264, 音频编解码器: aac
分类: 央视, 名称: CCTV12, 总数: 204, 有效率: 1.47%, 有效: 3, IPv4: 204, IPv6: 0, 最小延迟: 35 ms, 最高速率: 6.98 MiB/s, 平均速率: 3.88 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 31.0, 视频编解码器: h264, 音频编解码器: aac
分类: 央视, 名称: CCTV13, 总数: 209, 有效率: 2.39%, 有效: 5, IPv4: 209, IPv6: 0, 最小延迟: 5 ms, 最高速率: 29.33 MiB/s, 平均速率: 8.14 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 36.67, 视频编解码器: h264, 音频编解码器: aac
分类: 央视, 名称: CCTV14, 总数: 210, 有效率: 3.33%, 有效: 7, IPv4: 210, IPv6: 0, 最小延迟: 64 ms, 最高速率: 8.56 MiB/s, 平均速率: 3.02 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 30.0, 视频编解码器: h264, 音频编解码器: aac
分类: 央视, 名称: CCTV15, 总数: 196, 有效率: 3.57%, 有效: 7, IPv4: 196, IPv6: 0, 最小延迟: 50 ms, 最高速率: 6.60 MiB/s, 平均速率: 2.37 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 28.75, 视频编解码器: h264, 音频编解码器: aac
分类: 央视, 名称: CCTV16, 总数: 81, 有效率: 6.17%, 有效: 5, IPv4: 81, IPv6: 0, 最小延迟: 65 ms, 最高速率: 7.52 MiB/s, 平均速率: 3.06 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 32.0, 视频编解码器: h264, 音频编解码器: aac
