#This file is automatically generated by https://freetv.fun and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#freetv.fun does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://freetv.fun/app
#Generated on: 2026-08-01 00:00:02 UTC


#這個檔案是由https://freetv.fun自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#freetv.fun並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://freetv.fun/app
#生成時間: 2026-08-01 00:00:02 UTC


綜藝,#genre#
C+頻道,https://t.freetv.fun/live/viju-plus-megahit-1.m3u8
C+頻道[geo-blocked],https://t.freetv.fun/live/fifa-plus-his.m3u8
TVB Plus,https://t.freetv.fun/live/atv-plus.m3u8
TVB Plus,https://t.freetv.fun/live/tvb-plus-3.m3u8
TVB Plus,https://t.freetv.fun/live/metv-plus.m3u8
星空衛視,https://t.freetv.fun/live/xing-kong-wei-shi.m3u8
星空衛視,https://t.freetv.fun/live/xing-kong-wei-shi-1.m3u8
綜合,#genre#
TVB1(US)[geo-blocked],https://t.freetv.fun/live/tvb1.php
翡翠台,https://t.freetv.fun/live/fei-cui-2.m3u8
翡翠台,https://t.freetv.fun/live/fei-cui-3.m3u8
翡翠台,https://t.freetv.fun/live/fei-cui-4.m3u8
翡翠台[geo-blocked],https://t.freetv.fun/live/fei-cui-tai-1.m3u8
兒童,#genre#
Animax(HK),https://t.freetv.fun/live/cctv-8dian-shi-ju.m3u8
Animax(HK),https://t.freetv.fun/live/cctv-9ji-lu.m3u8
知識,#genre#
Discovery Kids,https://t.freetv.fun/live/discovery-kids-1.m3u8
電影,#genre#
AXN(HK),https://t.freetv.fun/live/axn-cee.m3u8
MOVIE MOVIE,https://t.freetv.fun/live/mytime-movie-network-2.m3u8
MOVIE MOVIE[geo-blocked],https://t.freetv.fun/live/paramount-movie-channel.m3u8
NOW 星影臺,https://t.freetv.fun/live/nowxing-ying.m3u8
NOW爆谷台,https://t.freetv.fun/live/nowbao-gu.m3u8
TVB 亞洲武俠,https://t.freetv.fun/live/asian.m3u8
TVB亞洲劇,https://t.freetv.fun/live/tvbsya-zhou.m3u8
TVB星河(粵)[geo-blocked],https://t.freetv.fun/live/tvbxing-he-1.m3u8
周星馳專輯,https://t.freetv.fun/live/zhou-xing-chi-dian-ying-4.m3u8
周潤發專輯,https://t.freetv.fun/live/zhou-run-fa-dian-ying-4.m3u8
恐怖電影臺[geo-blocked],https://t.freetv.fun/live/kong-bu-dian-ying.m3u8
明珠[geo-blocked],https://t.freetv.fun/live/ming-zhu-tai-1.m3u8
林正英,https://t.freetv.fun/live/lin-zheng-ying-ying-yuan-4.m3u8
鳳凰電影,https://t.freetv.fun/live/feng-huang-dian-ying.m3u8
鳳凰電影,https://t.freetv.fun/live/feng-huang-dian-ying-1.m3u8
新聞,#genre#
CCTV1(RTHK33),https://t.freetv.fun/live/cctv1-3.m3u8
CCTV1(RTHK33)[geo-blocked],https://t.freetv.fun/live/cctv1-8.m3u8
CCTV1(RTHK33),https://t.freetv.fun/live/cctv1zong-he.m3u8
CCTV1(RTHK33),https://t.freetv.fun/live/cctv-1hd.m3u8
CCTV1(RTHK33),https://t.freetv.fun/live/cctv-1hd-1.m3u8
CCTV1(RTHK33),https://t.freetv.fun/live/cctv-1hd-2.m3u8
CCTV1(RTHK33),https://t.freetv.fun/live/cctv-1hd-3.m3u8
CCTV1(RTHK33)[geo-blocked],https://t.freetv.fun/live/cctv-01-1.php
CCTV1(RTHK33),https://t.freetv.fun/live/cctv-1-1.m3u8
CCTV1(RTHK33),https://t.freetv.fun/live/cctv-4kchao-gao-qing-1.m3u8
CCTV1(RTHK33),https://t.freetv.fun/live/cctv-4kchao-gao-qing-2.m3u8
CCTV1(RTHK33),https://t.freetv.fun/live/cctv-4kchao-gao-qing-3.m3u8
CCTV1(RTHK33),https://t.freetv.fun/live/cctv1-zong-he-3.m3u8
CCTV1(RTHK33),https://t.freetv.fun/live/cctv1hd-5.m3u8
無線新聞台,https://t.freetv.fun/live/wu-xian-xin-wen.php
無線新聞台,https://t.freetv.fun/live/wu-xian-xin-wen-1.php
無線新聞台,https://t.freetv.fun/live/wu-xian-xin-wen-b.php
運動,#genre#
now Sports Prime,https://t.freetv.fun/live/prime.m3u8
