#This file is automatically generated by https://freetv.fun and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#freetv.fun does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://freetv.fun/app
#Generated on: 2026-08-27 01:00:02 UTC


#這個檔案是由https://freetv.fun自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#freetv.fun並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://freetv.fun/app
#生成時間: 2026-08-27 01:00:02 UTC


Generic,#genre#
NHK World FHD[geo-blocked],https://t.freetv.fun/live/nhk-world.m3u8
NHK World FHD,https://t.freetv.fun/live/nhk-world-1.m3u8
NHK World FHD[geo-blocked],https://t.freetv.fun/live/nhk-world-premium.m3u8
NHK World Japan,https://t.freetv.fun/live/nhk-world-japan.m3u8
NHK World Japan[geo-blocked],https://t.freetv.fun/live/nhk-world-japan-1.m3u8
Kids,#genre#
Sony Music,https://t.freetv.fun/live/fon-music.m3u8
Sony Music,https://t.freetv.fun/live/fon-music-1.m3u8
Sony Music[geo-blocked],https://t.freetv.fun/live/fon-music-2.m3u8
Movies,#genre#
FOX (Japan),https://t.freetv.fun/live/fox-1.m3u8
FOX (Japan),https://t.freetv.fun/live/fox-2.php
Movie Plus,https://t.freetv.fun/live/mozi-plus.m3u8
STAR CHANNEL 2,https://t.freetv.fun/live/star-channel-1.m3u8
dTV(Japan),https://t.freetv.fun/live/dtv.m3u8
dTV(Japan)[geo-blocked],https://t.freetv.fun/live/red-dtv.m3u8
News,#genre#
Gunma TV,https://t.freetv.fun/live/gunaz-tv.m3u8
HTB NEWS24,https://t.freetv.fun/live/news24.m3u8
NBS 長野放送,rtmp://tv.qntv.net/channellive/ch1
