🕘️更新时间,#genre#
2026-08-02 11:54:38,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv4k$订阅源

央视,#genre#
CCTV4K,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv4k$订阅源
CCTV4K,http://104.152.209.49:8181/720p/cctv4k.m3u8$订阅源
CCTV4K,https://live-play-hls.cctvnews.cctv.com/CCTVChannel/channel_cctv4k_mbd.m3u8?auth_key=1785690000-1-b59134a2ead43d7f783f943c8f535e7bb80c5169575b2e8efcd5b3ddea21b41c-a11f4d650b6a9eaa6148cfe2d5094970&yid=b59134a2ead43d7f783f943c8f535e7bb80c5169575b2e8efcd5b3ddea21b41c$订阅源
CCTV4K,https://live-play-hls.cctvnews.cctv.com/CCTVChannel/channel_cctv4k_mbd.m3u8?auth_key=1785675600-1-b59134a2ead43d7f783f943c8f535e7bb80c5169575b2e8efcd5b3ddea21b41c-4ea037cae8a0341cc4cf4d412e9b3501&yid=b59134a2ead43d7f783f943c8f535e7bb80c5169575b2e8efcd5b3ddea21b41c$订阅源
CCTV4K,https://live-play-hls.cctvnews.cctv.com/CCTVChannel/channel_cctv4k_mbd.m3u8?auth_key=1785668400-1-b59134a2ead43d7f783f943c8f535e7bb80c5169575b2e8efcd5b3ddea21b41c-a63be1df98f5932e85e2de27a27baba6&yid=b59134a2ead43d7f783f943c8f535e7bb80c5169575b2e8efcd5b3ddea21b41c$订阅源
CCTV8K,http://192.151.150.154/live/cctv8k.m3u8$订阅源
CCTV8K,http://38.75.136.137:98/gslb/dsdqpub/cctv8k.m3u8?auth=testpub$订阅源
CCTV8K,http://104.152.209.49:8181/720p/cctv8k.m3u8$订阅源
CCTV1,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv1hd$订阅源
CCTV1,http://38.75.136.137:98/gslb/dsdqbv/cctv1hd.m3u8?auth=test20251009$订阅源
CCTV1,http://120.76.248.139/live/bfgd/4200000489.m3u8$订阅源
CCTV1,http://139.227.21.22:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV1,http://113.90.154.189:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV1,http://182.140.125.47:808/hls/1/index.m3u8$订阅源
CCTV1,http://ds3622.guangyuan.site:8188/rtp/239.77.0.86:5146$订阅源
CCTV2,http://192.151.150.154/live/cctv2hd.m3u8$订阅源
CCTV2,http://104.152.209.49:8181/720p/cctv2.m3u8$订阅源
CCTV2,http://120.76.248.139/live/bfgd/4200000061.m3u8$订阅源
CCTV2,http://113.90.154.189:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV2,http://123.118.55.165:45237/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV2,http://223.78.65.165:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV2,http://123.163.114.121:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV2,http://vp.maomizi.cc:9530/rtp/239.77.0.137:5146$订阅源
CCTV2,http://www.rongrong.me:14022/rtp/233.18.204.68:5140$订阅源
CCTV2,http://youngx.top:4022/rtp/233.18.204.68:5140$订阅源
CCTV3,http://38.75.136.137:98/gslb/dsdqbv/cctv3hd.m3u8?auth=test20251009$订阅源
CCTV3,http://113.90.154.189:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV3,http://123.118.55.165:45237/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV3,http://120.76.248.139/live/bfgd/4200000062.m3u8$订阅源
CCTV3,http://111.8.177.168:9901/tsfile/live/1079_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV3,http://112.27.5.218:9901/tsfile/live/faacts/0003_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV3,http://youngx.top:4022/rtp/233.18.204.69:5140$订阅源
CCTV3,http://223.78.65.165:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV3,http://www.rongrong.me:14022/rtp/233.18.204.69:5140$订阅源
CCTV4,https://dash2.antik.sk/live/test_cctv_tizen/playlist.m3u8$订阅源
CCTV4,http://192.151.150.154/live/cctv4k.m3u8$订阅源
CCTV4,https://live-play-hls.cctvnews.cctv.com/CCTVChannel/channel_cctv4_mbd.m3u8?auth_key=1785668400-1-b59134a2ead43d7f783f943c8f535e7bb80c5169575b2e8efcd5b3ddea21b41c-4b4bb8ab2be749e861bac9315aab1dd9&yid=b59134a2ead43d7f783f943c8f535e7bb80c5169575b2e8efcd5b3ddea21b41c$订阅源
CCTV4,http://38.75.136.137:98/gslb/dsdqpub/cctv4k.m3u8?auth=testpub$订阅源
CCTV4,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv4hd$订阅源
CCTV4,http://113.57.140.161:10081/newlive/live/hls/4/live.m3u8$订阅源
CCTV4,http://38.75.136.137:98/gslb/dsdqbv/cctv4hd.m3u8?auth=test20251009$订阅源
CCTV4,http://104.152.209.49:8181/720p/cctv4.m3u8$订阅源
CCTV4,http://123.118.55.165:45237/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV4,http://home.scanflove.com:7788/rtp/235.254.198.183:7980$订阅源
CCTV5,http://207.56.13.146:81/cdnlive/cctv5.m3u8$订阅源
CCTV5,http://104.152.209.49:8181/720p/cctv5.m3u8$订阅源
CCTV5,http://38.75.136.137:98/gslb/dsdqbv/cctv5hd.m3u8?auth=test20251009$订阅源
CCTV5,http://38.75.136.137:98/gslb/dsdqpub/cctv5p.m3u8?auth=testpub$订阅源
CCTV5,http://104.152.209.49:8181/720p/cctv5p.m3u8$订阅源
CCTV5,http://113.90.154.189:9901/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV5,http://38.75.136.137:98/gslb/dsdqpub/cctv5hd.m3u8?auth=testpub$订阅源
CCTV5,http://223.78.65.165:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV5,http://139.227.21.22:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV5,http://123.118.55.165:45237/tsfile/live/0016_2.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV5+,http://38.75.136.137:98/gslb/dsdqbv/cctv5p.m3u8?auth=test20251009$订阅源
CCTV5+,http://223.112.114.228:50080/newlive/live/hls/180/live.m3u8$订阅源
CCTV5+,http://youngx.top:4022/rtp/233.18.204.67:5140$订阅源
CCTV6,https://www.9kds.com/d/1905.php?t=1&id=LIVE8J4LTCXPI7QJ5_261&kl=www.9kds.com$订阅源
CCTV6,https://www.9kds.com/d/1905.php?t=1&id=LIVEOYY31H24H48NE&kl=www.9kds.com$订阅源
CCTV6,http://198.204.240.250:82/live/cctv6.m3u8$订阅源
CCTV6,http://192.151.150.154/live/cctv6hd.m3u8$订阅源
CCTV6,http://207.56.13.146:81/cdnlive/cctv6.m3u8$订阅源
CCTV6,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv6hd$订阅源
CCTV6,http://38.75.136.137:98/gslb/dsdqbv/cctv6hd.m3u8?auth=test20251009$订阅源
CCTV6,http://104.152.209.49:8181/720p/cctv6.m3u8$订阅源
CCTV6,http://113.90.154.189:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV6,http://111.4.59.41:60901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV7,http://192.151.150.154/live/cctv7hd.m3u8$订阅源
CCTV7,http://104.152.209.49:8181/720p/cctv7.m3u8$订阅源
CCTV7,http://38.75.136.137:98/gslb/dsdqbv/cctv7hd.m3u8?auth=test20251009$订阅源
CCTV7,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv7hd$订阅源
CCTV7,http://207.56.13.146:81/cdnlive/cctv7.m3u8$订阅源
CCTV7,http://38.75.136.137:98/gslb/dsdqpub/cctv7hd.m3u8?auth=testpub$订阅源
CCTV7,http://113.90.154.189:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV7,http://183.129.255.66:8480/hls/8/index.m3u8$订阅源
CCTV7,http://123.163.114.121:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV7,http://139.227.21.22:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV8,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv8hd$订阅源
CCTV8,http://104.152.209.49:8181/720p/cctv8.m3u8$订阅源
CCTV8,http://38.75.136.137:98/gslb/dsdqpub/cctv8hd.m3u8?auth=testpub$订阅源
CCTV8,http://207.56.13.146:81/cdnlive/cctv8.m3u8$订阅源
CCTV8,http://38.75.136.137:98/gslb/dsdqbv/cctv8hd.m3u8?auth=test20251009$订阅源
CCTV8,http://113.90.154.189:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV8,http://123.118.55.165:45237/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV9,http://104.152.209.49:8181/720p/cctv9.m3u8$订阅源
CCTV9,http://38.75.136.137:98/gslb/dsdqbv/cctv9hd.m3u8?auth=test20251009$订阅源
CCTV9,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv9hd$订阅源
CCTV9,http://192.151.150.154/live/cctv9hd.m3u8$订阅源
CCTV9,http://38.75.136.137:98/gslb/dsdqpub/cctv9hd.m3u8?auth=testpub$订阅源
CCTV9,http://123.118.55.165:45237/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV9,http://223.78.65.165:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV9,http://123.163.114.121:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV9,http://home.scanflove.com:7788/rtp/235.254.198.58:1508$订阅源
CCTV9,http://www.rongrong.me:14022/rtp/233.18.204.75:5140$订阅源
CCTV10,http://192.151.150.154/live/cctv10hd.m3u8$订阅源
CCTV10,http://38.75.136.137:98/gslb/dsdqbv/cctv10hd.m3u8?auth=test20251009$订阅源
CCTV10,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv10hd$订阅源
CCTV10,http://113.90.154.189:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV10,http://38.75.136.137:98/gslb/dsdqpub/cctv10hd.m3u8?auth=testpub$订阅源
CCTV10,http://www.rongrong.me:14022/rtp/233.18.204.76:5140$订阅源
CCTV11,http://192.151.150.154/live/cctv11hd.m3u8$订阅源
CCTV11,http://38.75.136.137:98/gslb/dsdqbv/cctv11hd.m3u8?auth=test20251009$订阅源
CCTV11,http://38.75.136.137:98/gslb/dsdqpub/cctv11hd.m3u8?auth=testpub$订阅源
CCTV11,http://104.152.209.49:8181/720p/cctv11.m3u8$订阅源
CCTV11,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv11hd$订阅源
CCTV11,http://113.57.140.161:10081/newlive/live/hls/12/live.m3u8$订阅源
CCTV11,http://113.90.154.189:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV11,http://123.163.114.121:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV11,http://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/chunklist_w744036192_b1000000.m3u8$订阅源
CCTV11,http://vp.maomizi.cc:9530/rtp/239.77.1.108:5146$订阅源
CCTV12,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv12hd$订阅源
CCTV12,http://207.56.13.146:81/cdnlive/cctv12.m3u8$订阅源
CCTV12,http://38.75.136.137:98/gslb/dsdqpub/cctv12hd.m3u8?auth=testpub$订阅源
CCTV12,http://38.75.136.137:98/gslb/dsdqbv/cctv12hd.m3u8?auth=test20251009$订阅源
CCTV12,http://104.152.209.49:8181/720p/cctv12.m3u8$订阅源
CCTV12,http://123.118.55.165:45237/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV12,http://113.90.154.189:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV12,http://192.151.150.154/live/cctv12hd.m3u8$订阅源
CCTV13,http://222.89.96.36:8001/hls/13/index.m3u8
CCTV13,https://10.fast.hidns.vip/163189/cctv13/$订阅源
CCTV13,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv13hd$订阅源
CCTV13,http://113.57.140.161:10081/newlive/live/hls/14/live.m3u8$订阅源
CCTV13,http://38.75.136.137:98/gslb/dsdqbv/cctv13hd.m3u8?auth=test20251009$订阅源
CCTV13,http://111.4.59.41:60901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV13,http://113.90.154.189:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV13,http://wmh.wmh.ink:6633/rtp/239.253.43.196:5146$订阅源
CCTV13,http://www.hongzhijiaoyu.net:8188/rtp/239.253.43.196:5146$订阅源
