🕘️更新时间,#genre#
2026-08-02 10:45:11,http://xtvantsc.xyz/fhx.php?id=1

今日影视,#genre#
凤凰资讯台,http://xtvantsc.xyz/fhx.php?id=1
凤凰香港台,http://xtvantsc.xyz/fhx.php?id=3
凤凰中文台,http://xtvantsc.xyz/fhx.php?id=2
翡翠台,http://r.jdshipin.com/62WM7$订阅源
TVB Plus,http://r.jdshipin.com/Nr5jq$订阅源
TVB星河频道,https://cdn3.indevs.in/stream/live/tvbxh/$订阅源
澳门莲花,http://anren.live/HK/BiIOU11uLA.m3u8$订阅源
天映经典,https://10.fast.hidns.vip/163189/ccm/$订阅源
ViuTV,http://r.jdshipin.com/vSJvl$订阅源
美亚电影,http://173.208.234.146/live/mymovie.m3u8$订阅源
AXN,http://znty.dyndns.org:5010/hls/axn.m3u8$订阅源
中视新闻,http://4gtv.cnlive.club/channel/7e6461d6/index.m3u8?q=1782639885837
民视,http://37.27.111.214:8080/live/6/hls.m3u8$订阅源
民视第一台,http://4gtv.cnlive.club/channel/nc56ba28/index.m3u8?q=1782639885837
民视台湾台,http://4gtv.cnlive.club/channel/nce5d867/index.m3u8?q=1782639885837
民视综艺台,http://4gtv.cnlive.club/channel/nc46cff5/index.m3u8?q=1782639885837
台视新闻,https://live.wcetv.com/hls/master-ttvnews.m3u8$订阅源
华视,http://4gtv.cnlive.club/channel/n721fc25a/index.m3u8?q=1782639885837
寰宇新闻,http://4gtv.cnlive.club/channel/n4da4274/index.m3u8?q=1782639885837
寰宇新闻台湾,http://4gtv.cnlive.club/channel/n37458587/index.m3u8?q=1782639885837
东森新闻,http://4gtv.cnlive.club/channel/n5ca63a3a/index.m3u8?q=1782639885837
MOMO亲子台,http://4gtv.cnlive.club/channel/n33a56e39/index.m3u8?q=1782639885837
三立综合台,http://4gtv.cnlive.club/channel/45c7d3e3/index.m3u8?q=1782639885837
三立新闻台,http://4gtv.cnlive.club/channel/4fa717ad/index.m3u8?q=1782639885837
LIVE三立,https://d2jc41c1shgcol.cloudfront.net/live/setnewsrtmp/playlist.m3u8$订阅源
中天新闻,http://4gtv.cnlive.club/channel/3824d067/index.m3u8?q=1782639885837
TVBS新闻台,http://4gtv.cnlive.club/channel/n1ea96b20/index.m3u8?q=1782639885837
TVBS精采台,http://4gtv.cnlive.club/channel/49d50255/index.m3u8?q=1782639885837
TVBS欢乐台,http://4gtv.cnlive.club/channel/498f035d/index.m3u8?q=1782639885837
TVBS,http://4gtv.cnlive.club/channel/58f128b2/index.m3u8?q=1782639885837
经典卡通台,http://4gtv.cnlive.club/channel/n2faf04ad/index.m3u8?q=1782639885837
经典电影台,http://4gtv.cnlive.club/channel/n2eb7240a/index.m3u8?q=1782639885837
人间卫视,http://4gtv.cnlive.club/channel/7ed5b6d3/index.m3u8?q=1782639885837
大爱一台,http://4gtv.cnlive.club/channel/n7d3037d2/index.m3u8?q=1782639885837
大爱二台,http://4gtv.cnlive.club/channel/n7d3932e9/index.m3u8?q=1782639885837
好消息,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch1-2.m3u8$订阅源
